CD,Incumbent,Party,Biden2020,Trump2020,Clinton2016,Trump2016,Obama2012,Romney2012
RI-02,Jim Langevin,(D),56.0,42.5,51.1,44.0,59.8,38.3
SC-01,Nancy Mace,(R),46.1,52.1,40.4,53.5,40.2,58.3
SC-02,Joe Wilson,(R),43.6,54.9,38.6,56.3,39.4,59.1
SC-03,Jeff Duncan,(R),30.5,68.1,29.0,67.0,33.9,64.5
SC-04,William Timmons,(R),38.9,59.3,34.5,60.2,36.2,62.2
SC-05,Ralph Norman,(R),41.0,57.6,38.8,57.3,43.6,55.1
SC-06,Jim Clyburn,(D),67.0,31.8,66.8,30.3,70.9,28.1
SC-07,Tom Rice,(R),40.2,58.8,39.1,58.0,44.4,54.5
SD-AL,Dusty Johnson,(R),35.6,61.8,31.7,61.5,39.9,57.9
TN-01,Diana Harshbarger,(R),22.1,76.2,19.7,76.7,25.7,72.7
TN-02,Tim Burchett,(R),34.5,63.6,29.7,65.1,30.9,67.3
TN-03,Chuck Fleischmann,(R),32.9,65.3,30.2,65.4,35.1,63.3
TN-04,Scott DesJarlais,(R),30.7,67.5,27.4,68.6,33.1,65.3
TN-05,Jim Cooper,(D),60.3,36.7,56.5,38.2,55.9,42.5
TN-06,John Rose,(R),25.6,72.7,23.7,72.6,29.5,69.1
TN-07,Mark Green,(R),31.3,66.9,28.2,67.5,32.9,65.7
TN-08,David Kustoff,(R),33.2,65.4,30.7,66.3,32.9,66.1
TN-09,Steve Cohen,(D),78.5,19.9,77.5,19.8,78.4,20.9
TX-01,Louie Gohmert,(R),27.2,71.6,25.3,72.2,27.5,71.6
TX-02,Dan Crenshaw,(R),48.6,49.9,43.1,52.4,35.6,62.9
TX-03,Van Taylor,(R),48.7,49.8,40.6,54.8,34.2,64.3
TX-04,Pat Fallon,(R),24.4,74.4,21.8,75.4,24.8,74.0
TX-05,Lance Gooden,(R),37.9,60.9,34.3,62.7,34.4,64.5
TX-06,[VACANT],(R),47.8,50.8,41.9,54.2,40.8,57.9
TX-07,Lizzie Fletcher,(D),53.6,45.1,48.5,47.1,38.6,59.9
TX-08,Kevin Brady,(R),28.1,70.6,23.9,72.7,21.7,77.0
TX-09,Al Green,(D),75.7,23.3,79.3,18.0,78.0,21.1
TX-10,Michael McCaul,(R),48.4,50.0,43.2,52.3,38.8,59.1
TX-11,August Pfluger,(R),19.7,79.1,19.1,77.8,19.6,79.2
TX-12,Kay Granger,(R),37.9,60.5,32.7,62.9,31.7,66.8
TX-13,Ronny Jackson,(R),19.4,79.2,16.9,79.9,18.5,80.2
TX-14,Randy Weber,(R),39.6,59.0,38.4,58.2,39.5,59.3
TX-15,Vicente González,(D),50.4,48.5,56.7,40.0,57.4,41.5
TX-16,Veronica Escobar,(D),66.4,32.0,67.9,27.2,64.2,34.5
TX-17,Pete Sessions,(R),43.6,54.6,38.8,56.3,37.7,60.4
TX-18,Sheila Jackson Lee,(D),75.7,23.0,76.5,20.0,76.1,22.8
TX-19,Jodey Arrington,(R),26.3,72.2,23.5,72.5,25.0,73.6
TX-20,Joaquin Castro,(D),63.7,34.7,61.0,34.3,58.9,39.7
TX-21,Chip Roy,(R),47.9,50.6,42.5,52.5,37.9,59.8
TX-22,Troy Nehls,(R),48.9,49.8,44.2,52.1,36.7,62.1
TX-23,Tony Gonzales,(R),48.5,50.3,49.8,46.4,48.1,50.7
TX-24,Beth Van Duyne,(R),51.9,46.5,44.5,50.7,38.0,60.4
TX-25,Roger Williams,(R),44.4,54.0,40.2,55.1,37.8,59.9
TX-26,Michael Burgess,(R),42.1,56.3,34.4,60.9,30.7,67.6
TX-27,Michael Cloud,(R),37.5,61.2,36.5,60.1,38.2,60.5
TX-28,Henry Cuellar,(D),51.6,47.2,58.3,38.5,60.3,38.7
TX-29,Sylvia Garcia,(D),65.9,32.9,71.1,25.4,65.9,33.0
TX-30,Eddie Bernice Johnson,(D),79.8,18.9,79.1,18.3,79.6,19.6
TX-31,John Carter,(R),47.6,50.4,40.8,53.5,38.3,59.6
TX-32,Colin Allred,(D),54.4,44.0,48.5,46.6,41.5,57.0
TX-33,Marc Veasey,(D),73.0,25.6,72.9,23.7,72.0,27.1
TX-34,Filemon Vela,(D),51.5,47.5,59.2,37.7,60.8,38.3
TX-35,Lloyd Doggett,(D),67.7,30.5,64.1,30.5,63.0,34.6
TX-36,Brian Babin,(R),26.9,71.9,25.2,72.0,25.7,73.2
UT-01,Blake Moore,(R),31.6,64.2,22.4,49.7,20.4,77.4
UT-02,Chris Stewart,(R),40.2,56.1,32.0,46.0,29.2,68.0
UT-03,John Curtis,(R),35.2,60.3,23.3,47.2,19.5,78.3
UT-04,Burgess Owens,(R),43.3,52.4,32.4,39.1,30.2,67.2
VA-01,Rob Wittman,(R),47.0,51.4,41.2,53.6,43.4,55.3
VA-02,Elaine Luria,(D),51.4,46.7,45.4,48.8,48.2,50.5
VA-03,Bobby Scott,(D),67.2,31.2,63.6,31.9,67.6,31.3
VA-04,Donald McEachin,(D),61.8,36.8,58.7,37.1,60.3,38.5
VA-05,Bob Good,(R),45.1,53.6,42.3,53.4,45.9,52.5
VA-06,Ben Cline,(R),38.6,59.8,34.9,59.7,39.5,58.8
VA-07,Abigail Spanberger,(D),49.8,48.7,44.0,50.5,44.1,54.6
VA-08,Don Beyer,(D),77.6,21.1,73.5,20.9,67.8,31.0
VA-09,Morgan Griffith,(R),28.4,70.4,27.3,68.8,34.9,63.1
VA-10,Jennifer Wexton,(D),58.9,39.6,52.2,42.2,48.8,49.9
VA-11,Gerry Connolly,(D),70.3,28.3,66.9,27.5,62.5,36.3
VT-AL,Peter Welch,(D),66.4,30.8,56.7,30.3,67.0,31.2
WA-01,Suzan DelBene,(D),59.1,38.2,54.1,37.8,54.1,43.3
WA-02,Rick Larsen,(D),62.1,35.1,56.9,34.8,59.2,38.0
WA-03,Jaime Herrera Beutler,(R),46.9,50.6,42.5,49.9,47.9,49.6
WA-04,Dan Newhouse,(R),39.6,57.8,35.1,57.9,37.9,59.7
WA-05,Cathy McMorris Rodgers,(R),44.0,53.0,39.1,52.2,43.7,53.5
WA-06,Derek Kilmer,(D),57.4,39.6,51.8,39.5,56.1,41.2
WA-07,Pramila Jayapal,(D),85.7,12.3,82.1,12.2,79.2,18.1
WA-08,Kim Schrier,(D),52.0,45.5,47.7,44.7,49.7,48.1
WA-09,Adam Smith,(D),73.3,24.6,70.5,23.3,68.3,29.6
WA-10,Marilyn Strickland,(D),56.2,40.7,51.3,39.9,56.3,41.1
WI-01,Bryan Steil,(R),44.7,53.9,42.3,52.6,47.4,51.6
WI-02,Mark Pocan,(D),69.4,29.2,65.8,29.0,68.3,30.5
WI-03,Ron Kind,(D),46.8,51.5,44.8,49.3,54.8,43.8
WI-04,Gwen Moore,(D),76.2,22.6,74.0,21.8,75.3,23.8
WI-05,Scott Fitzgerald,(R),41.7,56.8,37.3,57.4,37.7,61.3
WI-06,Glenn Grothman,(R),41.6,56.8,38.8,55.7,45.8,53.1
WI-07,Tom Tiffany,(R),39.3,59.2,37.3,57.7,47.8,50.9
WI-08,Mike Gallagher,(R),41.3,57.2,38.6,56.2,47.6,51.3
WV-01,David McKinley,(R),30.3,68.0,26.4,68.0,35.5,62.2
WV-02,Alex Mooney,(R),32.8,65.4,29.4,65.8,38.0,60.0
WV-03,Carol Miller,(R),25.5,73.1,23.3,72.5,32.8,65.0
WY-AL,Liz Cheney,(R),26.7,70.4,22.5,70.1,28.0,69.2
